1;JOUVENEL Bertrand (de);1;1
2;VAN DAM André;2;2
3;LEGRAIN Dominique;3;3
4;MONOD Jérôme;4;3
5;MONTGOLFIER Jean (de);5;4
6;ZORGBIBE Charles;6;5
7;FONTELA Emilio;7;6
8;CARRON Alain-Marie;8;7
9;CAZES Bernard;9;8
10;ISHOW Habib;10;9
11;RIBOUD Jacques;11;10
12;DATAR;12;11
13;COMMISSION SUDREAU;13;12
14;NULL;14;NULL
15;DUPUY Jean-Pierre;15;14
16;KARSENTY Serge;16;14
17;DERIAN Jean-Claude;17;15
18;WEIL Alain;18;16
19;JOUVENEL Bertrand (de);1;17
20;THUROW Lester C.;19;18
21;SIMONDE DE SISMONDI J. C. L.;20;19
22;DROR Yehezkel;21;20
23;SAUVAGEOT Jacques;22;21
24;NULL;14;NULL
25;GUILLEMIN Claude;23;23
26;FRÉMONT Félix;24;24
27;CÉRON Jean-Paul;25;25
28;HOURCADE Jean-Charles;26;25
29;SCHIRAY Michel;27;25
30;RUSTANT Maurice;28;26
31;DURAND Jacques;29;27
32;KENNET Lord;30;28
33;INDUSTRIE ET SOCIÉTÉ;31;29
34;FONTELA Emilio;7;30
35;NULL;14;NULL
36;BLOCH-LAINÉ François;32;32
37;TESSIER Jacques;33;33
38;KOLM Serge-Christophe;34;34
39;RAINELLI Pierre;35;35
40;FRISCH Jean-Romain;36;36
41;TÉNIERE-BUCHOT Pierre-Frédéric;37;37
42;CÉRON Jean-Paul;25;38
43;HOURCADE Jean-Charles;26;38
44;SCHIRAY Michel;27;38
45;BELLINI James;38;39
46;NULL;14;NULL
47;POQUET Guy;39;41
48;NULL;14;NULL
49;NULL;14;NULL
50;BROWN Lester R.;40;44
51;HOTTOVY Tibor;41;45
52;LE BRETON Jean-Marie;42;46
53;BOUCHET Jean;43;47
54;BARBIERI MASINI Eleonora;44;48
55;FUTURIBLES INTERNATIONAL;45;49
56;METTLER Peter;46;50
57;GODCHOT Jacques;47;51
58;POQUET Guy;39;52
59;NULL;14;NULL
60;NULL;14;NULL
61;TOFFLER Alvin;48;55
62;DIENEL Peter C.;49;56
63;APTER David E.;50;57
64;JUNGK Robert;51;58
65;JULIEN Pierre-André;52;59
66;LAMONDE Pierre;53;59
67;LATOUCHE Daniel;54;59
68;DURAND Jacques;29;60
69;NULL;14;NULL
70;JOUVENEL Bertrand (de);1;62
71;BAILLON Jean;55;63
72;GODARD Olivier;56;63
73;BENOIST Jean;57;64
74;BÉNÉTON Philippe;58;65
75;NULL;14;NULL
76;DESROCHE Henri;59;67
77;BERTAUX Pierre;60;68
78;ANTOINE Serge;61;69
79;NULL;14;NULL
80;NULL;14;NULL
81;BERTOLINI Gérard;62;72
82;LAGADEC Patrick;63;73
83;HOTTOVY Tibor;41;74
84;RIBEILL Georges;64;75
85;DURAND Jacques;29;76
86;RIBEILL Georges;64;76
87;THOM René;65;76
88;GUERNIER Maurice;66;77
89;CEPPE Jean-Louis;67;78
90;NULL;14;NULL
91;MENDRAS Henri;68;80
92;ROUX Jean-Michel;69;81
93;SIMONET Jean-Louis;70;82
94;LAPERROUSAZ Michèle;71;83
95;MURON Jean-Louis;72;83
96;FLORENZANO Jean;73;84
97;JOUVENEL Bertrand (de);1;85
98;POQUET Guy;39;86
99;SICINSKI Andrzej;74;87
100;NULL;14;NULL
101;NULL;14;NULL
102;CHADENET Bernard;75;90
103;SAINT-GEOURS Jean;76;91
104;BACHY Jean-Paul;77;92
105;ROQUES Georges;78;93
106;NULL;14;NULL
107;CABUROL Guy;79;95
108;GALPIN Gérard;80;96
109;WICKHAM Sylvain;81;97
110;MELKA Raymond;82;98
111;LACOUR Claude;83;99
112;BESTUZHEV-LADA Igor V.;84;100
113;NULL;14;NULL
114;GIARINI Orio;85;102
115;SHONFIELD Andrew;86;103
116;MARIEN Michael;87;104
117;PAGÉ Jean-Pierre;88;105
118;HUGONNIER Bernard;89;106
119;CFDT-CNPF-CGC;90;107
120;POQUET Guy;39;108
121;FUTURIBLES INTERNATIONAL;45;109
122;NULL;14;NULL
123;BYLINSKY Gene;91;111
124;MORGAN Nicole S.;92;112
125;JACQUARD Albert;93;113
126;NULL;14;NULL
127;CLERC François;94;115
128;SCARDIGLI Victor;95;116
129;NULL;14;NULL
130;NULL;14;NULL
131;NULL;14;NULL
132;SALLANTIN Xavier;96;120
133;ANTOINE Serge;61;121
134;NAVARIN Jacques;97;121
135;VIEILLARD Jean-Michel;98;122
136;INTERSOCIAL;99;123
137;MORALES-ARCE Rafael;100;124
138;JOUVENEL Bertrand (de);1;125
139;FONTELA Emilio;7;126
140;GABUS André;101;126
141;MARTIN I.;102;127
142;SINDELL P.S.;103;127
143;SMITH J.G.;104;127
144;VALASKAKIS Kimon;105;127
145;NULL;14;NULL
146;NULL;14;NULL
147;COLE Sam;106;130
148;MILES Ian;107;130
149;GIARINI Orio;85;131
150;BERTOLINI Gérard;62;132
151;VAN DAM André;2;133
